instance_name,problem_type,bool_capacity,filepath,num_customers,num_routes,fitness
R2_6_1.txt,VRPTW,True,Sets/Vrp-Set-HG/R2_6_1.txt,600,73,34806.82254018209
R2_6_10.txt,VRPTW,True,Sets/Vrp-Set-HG/R2_6_10.txt,600,34,24056.79951042011
R2_6_2.txt,VRPTW,True,Sets/Vrp-Set-HG/R2_6_2.txt,600,65,33108.71860363469
R2_6_3.txt,VRPTW,True,Sets/Vrp-Set-HG/R2_6_3.txt,600,49,26031.811043228725
R2_6_4.txt,VRPTW,True,Sets/Vrp-Set-HG/R2_6_4.txt,600,35,18928.98870026974
R2_6_5.txt,VRPTW,True,Sets/Vrp-Set-HG/R2_6_5.txt,600,55,29833.569659482775
R2_6_6.txt,VRPTW,True,Sets/Vrp-Set-HG/R2_6_6.txt,600,47,29314.46514220215
R2_6_7.txt,VRPTW,True,Sets/Vrp-Set-HG/R2_6_7.txt,600,38,23355.459552899698
R2_6_8.txt,VRPTW,True,Sets/Vrp-Set-HG/R2_6_8.txt,600,25,16842.15632251021
R2_6_9.txt,VRPTW,True,Sets/Vrp-Set-HG/R2_6_9.txt,600,43,26499.173870584516
R2_8_1.txt,VRPTW,True,Sets/Vrp-Set-HG/R2_8_1.txt,800,94,59971.358242698414
R2_8_10.txt,VRPTW,True,Sets/Vrp-Set-HG/R2_8_10.txt,800,46,42213.28253965212
R2_8_2.txt,VRPTW,True,Sets/Vrp-Set-HG/R2_8_2.txt,800,84,58878.091495096516
R2_8_3.txt,VRPTW,True,Sets/Vrp-Set-HG/R2_8_3.txt,800,68,46455.47523764937
R2_8_4.txt,VRPTW,True,Sets/Vrp-Set-HG/R2_8_4.txt,800,39,32525.407607793448
R2_8_5.txt,VRPTW,True,Sets/Vrp-Set-HG/R2_8_5.txt,800,70,50056.57421126216
R2_8_6.txt,VRPTW,True,Sets/Vrp-Set-HG/R2_8_6.txt,800,63,47165.5582572725
R2_8_7.txt,VRPTW,True,Sets/Vrp-Set-HG/R2_8_7.txt,800,46,40830.94721684955
